key	apiLo	apiHi	calculator	effect	citeTag	citeFile	citeLine	citeAnchor
radio.active	26	33	MobileRadioPowerCalculator	ZERO_ZEROES_COMPONENT	android-12.0.0_r34	frameworks/base/core/java/com/android/internal/os/MobileRadioPowerCalculator.java	71	
radio.active	34	36		NOT_READ	android-16.0.0_r1	frameworks/base/core/java/com/android/internal/os/PowerProfile.java	512	
modem.controller.sleep	34	36	MobileRadioPowerCalculator	ZERO_ZEROES_TERM	android-16.0.0_r1	frameworks/base/core/java/com/android/internal/power/ModemPowerProfile.java	88	
modem.controller.voltage	31	36	MobileRadioPowerCalculator	ZERO_DIVIDES	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/MobileRadioPowerCalculator.java	113	
dsp.audio	26	36	AudioPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/AudioPowerCalculator.java	44	
dsp.video	26	36	VideoPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/VideoPowerCalculator.java	44	
camera.avg	26	36	CameraPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/CameraPowerCalculator.java	44	
camera.flashlight	26	36	FlashlightPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/FlashlightPowerCalculator.java	44	
gps.on	26	36	GnssPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/GnssPowerCalculator.java	62	
gps.signalqualitybased	30	36	GnssPowerCalculator	ZERO_SELECTS_FALLBACK	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/GnssPowerCalculator.java	71	
gps.voltage	30	36	GnssPowerCalculator	ZERO_DIVIDES	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/GnssPowerCalculator.java	77	
memory.bandwidths	28	36	MemoryPowerCalculator	ZERO_ZEROES_COMPONENT	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/MemoryPowerCalculator.java	58	
bluetooth.controller.rx	26	36	BluetoothPowerCalculator	ZERO_ZEROES_TERM	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/BluetoothPowerCalculator.java	97	
bluetooth.controller.voltage	26	36	BluetoothPowerCalculator	ZERO_DIVIDES	android-16.0.0_r1	frameworks/base/services/core/java/com/android/server/power/stats/BluetoothPowerCalculator.java	103	
